i=10, j=0, k=8, Temperature=28.6868
i=11, j=0, k=8, Temperature=27.025
i=12, j=0, k=8, Temperature=23.549
i=13, j=0, k=8, Temperature=21.3513
i=14, j=0, k=8, Temperature=20.4869
i=15, j=0, k=8, Temperature=20.0791
i=16, j=0, k=8, Temperature=19.9194
i=0, j=1, k=0, Temperature=19.9001
i=1, j=1, k=0, Temperature=22.2382
i=2, j=1, k=0, Temperature=22.3614
i=3, j=1, k=0, Temperature=24.7508
i=4, j=1, k=0, Temperature=9.67458
i=5, j=1, k=0, Temperature=30.5801
i=6, j=1, k=0, Temperature=30.6722
i=7, j=1, k=0, Temperature=49.1243
i=8, j=1, k=0, Temperature=64.0554
i=9, j=1, k=0, Temperature=56.9148
i=10, j=1, k=0, Temperature=30.6854
i=11, j=1, k=0, Temperature=30.5802
i=12, j=1, k=0, Temperature=9.67461
i=13, j=1, k=0, Temperature=24.7514
i=14, j=1, k=0, Temperature=22.3623
i=15, j=1, k=0, Temperature=22.2394
i=16, j=1, k=0, Temperature=19.9001
i=0, j=1, k=1, Temperature=16.408
i=1, j=1, k=1, Temperature=18.42
i=2, j=1, k=1, Temperature=20.3645
i=3, j=1, k=1, Temperature=22.3661
i=4, j=1, k=1, Temperature=25.1291
i=5, j=1, k=1, Temperature=28.9571
i=6, j=1, k=1, Temperature=31.2337
i=7, j=1, k=1, Temperature=32.3526
i=8, j=1, k=1, Temperature=33.4533
i=9, j=1, k=1, Temperature=32.5017
i=10, j=1, k=1, Temperature=31.3171
i=11, j=1, k=1, Temperature=29.3202
i=12, j=1, k=1, Temperature=26.2678
i=13, j=1, k=1, Temperature=24.3572
i=14, j=1, k=1, Temperature=23.1197
i=15, j=1, k=1, Temperature=22.0895
i=16, j=1, k=1, Temperature=21.1777
i=0, j=1, k=2, Temperature=16.416
i=1, j=1, k=2, Temperature=18.555
i=2, j=1, k=2, Temperature=20.6706
i=3, j=1, k=2, Temperature=22.8143
i=4, j=1, k=2, Temperature=25.6597
i=5, j=1, k=2, Temperature=29.499
i=6, j=1, k=2, Temperature=31.9114
i=7, j=1, k=2, Temperature=33.0602
i=8, j=1, k=2, Temperature=34.2115
i=9, j=1, k=2, Temperature=33.0684
i=10, j=1, k=2, Temperature=31.9807
i=11, j=1, k=2, Temperature=29.9621
i=12, j=1, k=2, Temperature=27.0626
i=13, j=1, k=2, Temperature=25.1949
i=14, j=1, k=2, Temperature=23.8076
i=15, j=1, k=2, Temperature=22.4804
i=16, j=1, k=2, Temperature=21.2249
i=0, j=1, k=3, Temperature=16.6069
i=1, j=1, k=3, Temperature=19.4938
i=2, j=1, k=3, Temperature=22.4235
i=3, j=1, k=3, Temperature=25.4467
i=4, j=1, k=3, Temperature=29.5269
i=5, j=1, k=3, Temperature=33.725
i=6, j=1, k=3, Temperature=36.3616
i=7, j=1, k=3, Temperature=37.7351
i=8, j=1, k=3, Temperature=39.1811
i=9, j=1, k=3, Temperature=37.6793
i=10, j=1, k=3, Temperature=36.4208
i=11, j=1, k=3, Temperature=34.1857
